date,open,high,low,close,volume,value,sma5,sma12,sma20,sma26,sma50,sma60,sma120,sma160,sma200,sma240,ema12,ema26,ema50,vwma5,vwma10,vwma20,sma12_slope,sma20_slope,sma26_slope,sma50_slope,sma60_slope,sma120_slope,sma160_slope,sma200_slope,sma240_slope,volume_ma5,volume_ma20,volume_ma50,obv,obv_signal,obv_daily_diff,obv_diff_over_1y_avg,bb_upper,bb_middle,bb_lower,bb_width,rsi,rsi_signal,price_change_10d,total_volatility_10d,efficiency_ratio,stoch_fast_k,stoch_slow_k,adx,di_plus,di_minus,momentum_50,cdl_doji,cdl_hammer,cdl_inverted_hammer,cdl_engulfing,macd,macd_signal,macd_histogram,macd_pct,macd_signal_pct,mfi,close_sma20_disparity,close_sma50_disparity,close_sma60_disparity,close_sma120_disparity,close_sma200_disparity,sma5_sma20_disparity,sma20_sma60_disparity,sma50_sma200_disparity,volume_vma20_disparity,atr,atr_pct
2004-02-11,11000,11180,10960,11080,30439200,3.37335E+11,10728,10613.33333,10465,10210.38462,,,,,,,10600.39472,10253.46125,,10718.46803,10610.31646,10496.0166,0.00255716,0.006046931,,,,,,,,25354510,27757377.55,,337312752,310163018.7,30439200,,11146.24885,10465,9783.751147,0.130195672,71.81748017,69.96059306,0.003857281,0.020732883,18.60465116,91.07142857,83.98185148,0,42.26738422,11.66630372,,0,0,0,0,346.9334692,,,3.131168495,,56.54775243,5.876731964,,,,,2.513139035,,,9.66165642,294.4981104,2.657925184
2004-02-12,11200,11200,10920,10980,28550000,3.15658E+11,10876,10636.66667,10509,10287.30769,,,,,,,10658.79553,10307.27894,,10853.0755,10655.46303,10549.23918,0.002175673,0.005069824,,,,,,,,27414650,27485090.05,,308762752,317649685.3,-28550000,,11203.80645,10509,9814.193552,0.132230745,68.3033019,69.8685692,0.003857281,0.020732883,18.60465116,80.70175439,84.82183022,0,39.43315674,11.84194756,,0,0,0,1,351.5165964,,,3.201426196,,50.13642814,4.481872681,,,,,3.492244743,,,3.874500495,293.4625311,2.672700648
2004-02-13,10900,11100,10840,11100,16760750,1.84486E+11,10988,10665,10561,10362.30769,,,,,,,10726.67314,10365.99901,,10977.2125,10694.22828,10582.52523,0.002002002,0.004264264,,,,,,,,23791730,27221020.05,,325523502,323866335.3,16760750,,11269.1497,10561,9852.850298,0.134106562,70.18844443,70.1030755,0.007473481,0.020009643,37.34939759,91.22807018,87.66708438,56.1752801,36.95514027,13.03135574,,0,1,0,0,360.6741279,,,3.249316468,,36.38375666,5.103683363,,,,,4.043177729,,,-38.42717882,291.0723503,2.622273426
2004-02-16,11100,11320,11020,11260,31250850,3.50076E+11,11068,10715,10629.5,10441.53846,,,,,,,10808.72343,10432.22131,,11058.50285,10767.09671,10653.67661,0.00300967,0.004869745,0.00684292,,,,,,,25514320,27346395.05,,356774352,330353535.3,31250850,,11329.77066,10629.5,9929.229338,0.13175985,72.53401632,70.34192088,0.007955641,0.020491803,38.82352941,95.23809524,89.05597327,55.96415665,39.59003216,12.08748771,,0,1,0,0,376.5021185,,,3.343713308,,46.46909841,5.931605438,,,,,4.125311633,,,14.2777684,291.7100396,2.590675307
2004-02-17,11220,11420,11120,11200,18220450,2.05257E+11,11124,10775,10693,10514.61538,,,,,,,10868.91982,10489.09381,,11113.01516,10841.73077,10717.81632,0.004117063,0.00547619,0.00676511,,,,,,,25044250,26676035.05,,338553902,340283918.7,-18220450,,11357.44262,10693,10028.55738,0.124276185,70.30025403,71.0075716,0.010366442,0.018081003,57.33333333,83.82352941,90.09656494,55.92818011,39.13730975,11.21286088,,1,0,0,0,379.8260185,,,3.391303737,,53.88157042,4.74141962,,,,,4.030674273,,,-31.69730822,292.3021796,2.609840889
2004-02-18,11260,11360,10980,10980,18654100,2.07586E+11,11104,10806.66667,10736,10576.15385,,,,,,,10886.00908,10525.45723,,11122.6193,10909.32442,10765.04208,0.004300749,0.00531269,0.00649199,,,,,,,22687230,26221365.05,,319899802,338409352,-18654100,,11356.39987,10736,10115.60013,0.115573746,62.67826516,68.5041785,0.009643202,0.018804243,51.28205128,67.64705882,82.23622782,55.14680361,35.62134812,13.51530426,,0,0,0,0,360.5518545,,,3.283714522,,54.6016195,2.272727273,,,,,3.427719821,,,-28.85915754,298.5663096,2.719183148
2004-02-19,11020,11100,10900,11100,18885900,2.07828E+11,11128,10870,10770,10612.30769,,,,,,,10918.93076,10568.01595,,11130.93434,10972.79542,10796.68918,0.004654655,0.004219219,0.005128205,,,,,,,20754410,25818242.55,,338785702,332413135.3,18885900,,11391.93247,10770,10148.06753,0.115493495,64.91287859,65.96379926,0.010366442,0.019527483,53.08641975,76.47058824,75.98039216,54.00904119,33.89541034,14.79854983,,0,1,0,0,350.9148103,,,3.161394688,,54.89393773,3.064066852,,,,,3.324048282,,,-26.85055939,291.5258589,2.62635909
2004-02-20,10940,11080,10880,10980,18168750,1.99572E+11,11104,10936.66667,10793,10646.15385,,,,,,,10928.32603,10598.53329,,11123.60208,11045.90775,10815.83339,0.004907913,0.003035823,0.003993274,,,,,,,21036010,25718987.55,,320616952,326434152,-18168750,,11410.25521,10793,10175.74479,0.114380657,60.98083239,62.85732538,0.005303761,0.017357763,30.55555556,67.64705882,70.58823529,52.8471178,32.05550782,14.48872904,,0,0,0,0,329.7927408,,,3.003576874,,49.98686607,1.732604466,,,,,2.881497267,,,-29.35666707,286.416869,2.608532505
2004-02-23,10900,11040,10780,10940,19086850,2.0763E+11,11040,10995,10795,10680,,,,,,,10930.12202,10623.82712,,11056.15542,11057.513,10806.64775,0.005738371,0.001797684,0.003164112,,,,,,,18603210,22983840,,301530102,320310918.7,-19086850,,11413.8861,10795,10176.1139,0.11466162,59.6830491,61.85892003,0.00096432,0.013982642,6.896551724,64.70588235,69.60784314,51.23684308,29.98403453,16.03788667,,0,0,0,0,306.2949058,343.5123795,-37.21747364,2.79977062,3.139966906,50.41441944,1.343214451,,,,,2.269569245,,,-16.95534776,284.5299498,2.60082221
2004-02-24,10800,10880,10580,10620,30425550,3.26077E+11,10924,11001.66667,10791,10708.07692,,,,,,,10882.41094,10623.54363,,10918.2529,11024.08574,10800.0934,0.004132664,0.000659134,0.003005939,,,,,,,21044230,22764382.5,,271104552,297750535.3,-30425550,,11413.31503,10791,10168.68497,0.115339641,50.43562269,57.03316806,0.003616201,0.017116683,21.12676056,41.17647059,57.84313725,48.77176615,27.34874733,19.51108194,,0,0,0,0,258.8673154,326.5833667,-67.71605126,2.437545343,3.075172944,48.49846946,-1.584653878,,,,,1.232508572,,,33.65418544,289.9206677,2.72994979
